Last Name, First Name, Middle Name,Suffix,Entity Name,Formatted Name,Attention,Address Line 1,Address Line 2,City,State,County,Mail Zip Code,Mail Zip Code + 4,License Type,Sub Category,License Number,License First Issue Date,License Last Renewed Date,License Expiration Date, License Status Description,Specialty,Title,Degree(s),Case Number,Program Action,Discipline Effective Date,Discipline Complete Date,
,,,,9th St. Style Shoppe,9th St. Style Shoppe,,1708 South 9th St.,,Lamar,CO,Prowers,81052,1052,REG,,211,10/31/2002,10/31/2002,11/30/2004,Expired,Fixed Location,,,,,,,
,,,,A Beautiful Touch,A Beautiful Touch,,14-18 N Sierra Madre,Suite C,Colorado Springs,CO,El Paso,80903,0903,REG,,120064012,11/29/1990,11/30/2000,11/30/2000,Expired,Fixed Location,,,,,,,
,,,,A Beautiful You,A Beautiful You,,3031 Eastborough Dr,,Fort Collins,CO,Larimer,80525,2319,REG,,2000028430,10/29/2012,12/01/2013,11/30/2015,Expired,,,,,,,,
,,,,A Better Cut Barber Shop,A Better Cut Barber Shop,,416 State St,,Alamosa,CO,Alamosa,81101,1101,REG,,3758,12/21/2009,12/01/2025,11/30/2027,Active,Fixed Location,,,,,,,
,,,,A Creative Touch,A Creative Touch,,710 Brassie Dr,,Grand Junction,CO,Mesa,81506,1506,REG,,90019276,10/22/1999,02/27/2001,02/27/2001,Expired,Fixed Location,,,,,,,
,,,,A Cut Above,A Cut Above,,"513 EAST BIG THOMPSON AVE., #4",,ESTES PARK,CO,,80517,0517,REG,,10013119,11/30/1995,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,A Girl's Best Friend,A Girl's Best Friend,,4341 DIXON DR,,WESTMINSTER,CO,,80030,0030,REG,,250039595,08/11/1993,11/30/2001,11/30/2001,Expired,Fixed Location,,,,,,,
,,,,"A Kis Salon, LLC","A Kis Salon, LLC",,8770 E Arapahoe Rd,,Centennial,CO,,80112,1422,REG,,2000031432,04/10/2018,12/01/2025,11/30/2027,Active,Fixed Location,,,,,,,
,,,,A Mirror Image,A Mirror Image,,7400 E Arapahoe Suite 19,,Centennial,CO,Arapahoe,80112,0112,REG,,1953,12/28/2005,12/01/2007,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,A Nail Salon,A Nail Salon,,666 Patterson Ave. #B2,,Grand Junction,CO,Mesa,81506,1506,REG,,90019606,01/17/1996,11/30/2001,11/30/2001,Expired,Fixed Location,,,,,,,
,,,,A New Creation,A New Creation,,3541 Tejon,,Denver,CO,Denver,80205,0205,REG,,181057399,05/06/1996,12/01/2004,11/30/2005,Expired,Fixed Location,,,,,,,
,,,,A Nu Do Revue,A Nu Do Revue,,8175 SHERIDAN BLVD,UNIT G-2,ARVADA,CO,,80003,0003,REG,,240001600,06/26/1996,12/01/2005,11/30/2007,Expired,Fixed Location,,,2003-1603000247,CLS Stipulation,03/24/2004,06/12/2007,
,,,,A Perfect Ten,A Perfect Ten,,8700 WEST COLFAX AVENUE UNIT D,,LAKEWOOD,CO,,80215,0215,REG,,210024876,10/21/1997,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,A Permanent Solution,A Permanent Solution,,201 S Parish Ave,PO Box 485,Johnstown,CO,Weld,80534,0534,REG,,11022768,04/07/1999,12/01/2009,11/30/2011,Expired,Fixed Location,,,,,,,
,,,,"Glamour" By Nester,"Glamour" By Nester,,210 W 5TH STREET,,OLATHE,CO,,81425,1425,REG,,80033305,10/09/1997,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,"Just Got Nailed","Just Got Nailed",,820 Ridgewood Ct,,Canon City,CO,Fremont,81212,1212,REG,,50007733,03/15/2002,12/01/2005,11/30/2007,Expired,Fixed Location,,,,,,,
,,,,#1 Pro-Nails,#1 Pro-Nails,,1906 E COLFAX AVE,,DENVER,CO,,80206,0206,REG,,182048430,05/21/1997,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,(Kelley & Co) Hair Design Day Spa Wellness Center,(Kelley & Co) Hair Design Day Spa Wellness Center,,3000 E 3rd Ave Unit 33,,Denver,CO,Denver,80206,5131,REG,,182043051,11/03/2000,11/30/2002,11/30/2002,Expired,Fixed Location,,,,,,,
,,,,10 By "Six",10 By "Six",,660 Maple Ave,,Las Animas,CO,Bent,81054,1054,REG,,4712,03/23/2012,03/23/2012,11/30/2013,Expired,Fixed Location,,,,,,,
,,,,10th Street Barber Shop,10th Street Barber Shop,,P.O. Box 772068,,Steamboat Springs,CO,Routt,80477,0477,REG,,3241,09/16/2008,12/01/2025,11/30/2027,Active,Fixed Location,,,,,,,
,,,,11 West Hair Salon,11 West Hair Salon,,1100 W Littleton Blvd,,Littleton,CO,Arapahoe,80120,0120,REG,,190012585,12/04/1997,12/01/2025,11/30/2027,Active,Fixed Location,,,,,,,
,,,,13Esthetics LLC,13Esthetics LLC,,6825 E Tennessee Ave,2-443,Denver,CO,Denver,80224,0224,REG,,2000036572,04/02/2025,04/02/2025,11/30/2025,Expired,,,,,,,,
,,,,2 Go Mobile Hairstyling,2 Go Mobile Hairstyling,,289 Bighorn Terr,,Fort Lupton,CO,Weld,80621,0621,REG,,4790,05/21/2012,05/21/2012,11/30/2013,Expired,Mobile Unit,,,,,,,
,,,,"21st Century Barber Beauty, & Nails","21st Century Barber Beauty, & Nails",,2727 Welton St,,Denver,CO,Denver,80205,2913,REG,,182058516,06/09/2000,11/30/2001,11/30/2001,Expired,Fixed Location,,,,,,,
,,,,24th Street Salon,24th Street Salon,,1451 24th St Lot A,,Denver,CO,Denver,80205,0205,REG,,2915,01/04/2008,05/03/2010,11/30/2011,Expired,Fixed Location,,,,,,,
,,,,29th Avenue Salon,29th Avenue Salon,,3807 W 29TH AVE,,DENVER,CO,,80211,0211,REG,,181044855,07/01/1992,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,2nd Knuckle,2nd Knuckle,,6155 S Main St,,Aurora,CO,Arapahoe,80016,5363,REG,,2000032662,07/11/2019,12/01/2025,11/30/2027,Active,Fixed Location,,,,,,,
,,,,2nd Street Hair Studio LLC,2nd Street Hair Studio LLC,,734 Hillview Rd,,Palmer Lake,CO,El Paso,80133,9032,REG,,4222,02/25/2011,12/01/2023,11/30/2025,Expired,Fixed Location,,,,,,,
,,,,72nd Avenue Salon,72nd Avenue Salon,,3200 W 72nd Ave,,Westminster,CO,Adams,80030,0030,REG,,1012,02/10/2004,02/10/2004,11/30/2005,Expired,Fixed Location,,,,,,,
,,,,7s Barber Lounge,7s Barber Lounge,,16564 Washington St,,Thornton,CO,Adams,80023,8964,REG,,2000036951,10/27/2025,10/27/2025,11/30/2027,Active,,,,,,,,
,,,,A & A Barber's & Stylist LLC,A & A Barber's & Stylist LLC,,12415 E Mississippi Ave,,Aurora,CO,Arapahoe,80012,3478,REG,,2000029562,11/28/2014,11/28/2014,11/30/2015,Expired,Fixed Location,,,,,,,
,,,,A Beautiful You LLC,A Beautiful You LLC,,112 W 2nd St,,La Junta,CO,Otero,81050,1509,REG,,2000032018,11/02/2018,12/01/2025,11/30/2027,Active,Fixed Location,,,,,,,
,,,,A Better Alternative Hair & Nail,A Better Alternative Hair & Nail,,126 W D St Ste 105,,Pueblo,CO,Pueblo,81003,3451,REG,,50067842,06/09/2000,12/01/2025,11/30/2027,Active,Fixed Location,,,,,,,
,,,,A Better You!,A Better You!,,3065 Main Ave,,Durango,CO,La Plata,81301,1301,REG,,3608,08/21/2009,08/21/2009,11/30/2011,Expired,Fixed Location,,,,,,,
,,,,A Classic Touch,A Classic Touch,,1048 INDEPENDENT AVE,A-104,GRAND JUNCTION,CO,,81505,1505,REG,,90019199,03/13/1996,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,"A Color & Style, Inc","A Color & Style, Inc",,7495 E PEAKVIEW AVE,,ENGLEWOOD,CO,,80111,0111,REG,,190012937,06/04/1993,12/01/2013,11/30/2015,Expired,Fixed Location,,,,,,,
,,,,A Creative Touch,A Creative Touch,,20 NO TOWNSEND,,MONTROSE,CO,,81401,1401,REG,,80032007,09/15/1995,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,A Desert Flower,A Desert Flower,,919 NORTH PIONEER LANE,,COLORADO SPRINGS,CO,,80904,0904,REG,,120063627,11/30/1983,12/01/2007,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,A Good Hair Day Salon,A Good Hair Day Salon,,110 E.S. First St.,,Johnstown,CO,Weld,80534,0534,REG,,11022730,01/09/1998,12/01/2001,11/30/2003,Expired,Fixed Location,,,,,,,
,,,,A Good Hair Day Salon,A Good Hair Day Salon,,975 Lake Ave,,Fountain,CO,El Paso,80817,0817,REG,,120016899,05/05/1999,08/04/2005,11/30/2007,Expired,Fixed Location,,,,,,,
,,,,"A Hair Never There, Inc.","A Hair Never There, Inc.",,11480 Sheridan Blvd  Ste 303,,Westminster,CO,Broomfield,80020,0020,REG,,2999,02/28/2008,12/01/2009,11/30/2011,Expired,Fixed Location,,,,,,,
,,,,"Julia's" LLC,"Julia's" LLC,,685 Main street Studio2A,,Meeker,CO,Rio Blanco,81641,0281,REG,,2000035706,07/30/2024,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,"Linda's" Beauty Shop,"Linda's" Beauty Shop,,PO Box 1524,202 Wortman,Olathe,CO,Montrose,81425,1425,REG,,2958,02/04/2008,02/04/2008,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,"My Platform","My Platform",,3295 Galena Ct,,Colorado Springs,CO,El Paso,80918,0918,REG,,120061690,09/11/1997,11/30/2002,11/30/2002,Expired,,,,,,,,
,,,,#1 Nails,#1 Nails,,15220 E Iliff Ave Unit E,,Aurora,CO,Arapahoe,80014,0014,REG,,170003589,05/05/1998,11/30/2001,11/30/2001,Expired,Fixed Location,,,,,,,
,,,,125 FJ LLC,125 FJ LLC,,125 E Costilla St,,Colorado Springs,CO,El Paso,80903,2101,REG,,2000034709,11/22/2022,02/24/2026,11/30/2027,Active,,,,,,,,
,,,,"1438 S Wadsworth, Inc.","1438 S Wadsworth, Inc.",,1438 S Wadsworth Blvd,,Lakewood,CO,Jefferson,80232,5441,REG,,210025984,12/17/1996,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,2 Sensationail,2 Sensationail,,8730 DE SOTO ST,,THORNTON,CO,,80229,0229,REG,,140037528,05/19/1995,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,2443 Fox and Jane,2443 Fox and Jane,,2443 Eliot St,,Denver,CO,Denver,80211,4707,REG,,2000035677,07/16/2024,02/24/2026,11/30/2027,Active,,,,,,,,
,,,,44th Ave West,44th Ave West,,10105 W. 44TH AVE,,WHEATRIDGE,CO,,80033,0033,REG,,230041196,03/02/1998,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,4EYMED LLC,4EYMED LLC,,9249 Highland Ridge Hts Ste 140,,Colorado Springs,CO,El Paso,80920,1067,REG,,2000035349,01/09/2024,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,4th Avenue Barbers,4th Avenue Barbers,,665 4TH AVE,,LONGMONT,CO,,80501,0501,REG,,10028600,01/01/1977,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,5th Ave Nail Salon,5th Ave Nail Salon,,1617 Wazee St  D,,Denver,CO,Denver,80202,0202,REG,,1437,12/20/2004,12/01/2005,11/30/2007,Expired,,,,2006-2335,CLS Stipulation,02/27/2006,02/27/2007,
,,,,5th Ave Nail Salon,5th Ave Nail Salon,,22651 E Aurora Pkwy Ste A 7,,Aurora,CO,Arapahoe,80016,0016,REG,,1996,02/02/2006,12/01/2013,11/30/2015,Expired,Fixed Location,,,2012-3287,CLS Stipulation,04/06/2012,,
,,,,5th Ave Nails at DTC,5th Ave Nails at DTC,,5312 Dtc Blvd Unit 300,,Greenwood Village,CO,Arapahoe,80111,3318,REG,,2000034942,04/19/2023,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,9th Street Barber Shop,9th Street Barber Shop,,704 S. 9th St.,,Canon City,CO,Fremont,81212,1212,REG,,50007320,06/06/1988,04/17/2008,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,A + Day Spa,A + Day Spa,,11211 S Dransfeldt Rd  Ste 125,,Parker,CO,Douglas,80134,0134,REG,,1411,11/17/2004,11/17/2004,11/30/2005,Expired,Fixed Location,,,,,,,
,,,,A Beautiful Life,A Beautiful Life,,2851 Aspen Drive,,Estes Park,CO,Larimer,80517,0517,REG,,2492,01/19/2007,01/19/2007,11/30/2007,Expired,Fixed Location,,,,,,,
,,,,A Beautiful You,A Beautiful You,,"41184 US Hwy 6 & 24, Ste 210B",Market Place Center,Avon,CO,Eagle,81620,1620,REG,,3569,07/10/2009,07/10/2009,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,A Bobbie Pin,A Bobbie Pin,,12313 64.50 Rd,,Montrose,CO,Montrose,81401,1401,REG,,80032083,07/29/1997,12/01/2001,11/30/2003,Expired,Fixed Location,,,,,,,
,,,,A Country Cut,A Country Cut,,2300 Atwood St,,Longmont,CO,Boulder,80501,1205,REG,,2000029202,04/09/2014,07/12/2023,11/30/2023,Expired,Fixed Location,,,2023-2168,CLS Stipulation,07/12/2023,,
,,,,A Cut Above Barbershop,A Cut Above Barbershop,,3729 Drennan Rd,,Colorado Springs,CO,El Paso,80910,0910,REG,,4275,04/12/2011,12/01/2011,11/30/2013,Expired,Fixed Location,,,,,,,
,,,,A Fabulash Experience LLC,A Fabulash Experience LLC,,10620 Melody Dr,,Northglenn,CO,Adams,80234,4140,REG,,2000036211,12/03/2024,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,A Hare Cottage,A Hare Cottage,,319 S. Main,,Brighton,CO,Adams,80601,0601,REG,,15006230,02/18/1987,12/01/2009,11/30/2011,Expired,Fixed Location,,,,,,,
,,,,A Massage Inc,A Massage Inc,,Denver International Airport,8900 Pena Blvd,Denver,CO,Denver,80249,0249,REG,,4614,01/05/2012,01/05/2012,11/30/2013,Expired,Fixed Location,,,,,,,
,,,,A Mountain Sanctuary Day Spa,A Mountain Sanctuary Day Spa,,326 So Main St,,Breckenridge,CO,Summit,80424,0424,REG,,3323,11/26/2008,11/26/2008,11/30/2009,Expired,Fixed Location,,,,,,,
,,,,A Peace of Beauty,A Peace of Beauty,,7148 E County Line Rd,,Highlands Ranch,CO,,80126,3911,REG,,2000030763,03/14/2017,03/14/2017,11/30/2017,Expired,Fixed Location,,,,,,,
,,,,A Perfect 10,A Perfect 10,,116 COLORADO AVE SUITE A,,PUEBLO,CO,,81004,1004,REG,,50066385,07/15/1992,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,"Figaro","Figaro",,408 S. 2nd St.,,Sterling,CO,Logan,80751,0751,REG,,20036441,06/01/2000,11/30/2001,11/30/2001,Expired,Fixed Location,,,,,,,
,,,,"The Barber Shop","The Barber Shop",,415 S. Grand Mesa Dr.,,Cedaredge,CO,Delta,81413,1413,REG,,80008307,11/17/1999,04/12/2000,04/12/2000,Expired,Fixed Location,,,,,,,
,,,,1st Choice Hair Studio,1st Choice Hair Studio,,3326 Austin Bluffs Pkwy,,Colorado Spgs,CO,El Paso,80918,5743,REG,,2000033470,09/24/2020,09/24/2020,11/30/2021,Expired,,,,,,,,
,,,,2the9s Studio Ltd.,2the9s Studio Ltd.,Duane T Neal,957 Oak St,,Lakewood,CO,Jefferson,80215,5529,REG,,2000031694,09/12/2018,09/12/2018,11/30/2019,Expired,Fixed Location,,,,,,,
,,,,3-D Hair Design,3-D Hair Design,,1682 E 115TH AVENUE,,NORTHGLENN,CO,,80233,0233,REG,,130032503,04/01/1994,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,303 Salon Lohi,303 Salon Lohi,,3358 Mariposa St,,Denver,CO,Denver,80211,3537,REG,,2000033620,12/15/2020,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,44th Avenue Salon,44th Avenue Salon,,9701 W 44TH AVENUE,,WHEAT RIDGE,CO,,80033,0033,REG,,230041100,06/07/2002,12/01/2009,11/30/2011,Expired,Fixed Location,,,,,,,
,,,,46th Ave "Hair",46th Ave "Hair",,4900 W 46th Ave,,Denver,CO,Denver,80212,2510,REG,,181046162,07/15/1994,11/30/1998,11/30/1998,Expired,Fixed Location,,,,,,,
,,,,5 Star Quality Care,5 Star Quality Care,,2825 PATTERSON,,GRAND JUNCTION,CO,,81506,1506,REG,,581,06/27/2003,12/01/2009,11/30/2011,Expired,Fixed Location,,,,,,,
,,,,502 Salon And Spa,502 Salon And Spa,,2299 PEARL ST #6,,BOULDER,CO,,80302,0302,REG,,260005695,12/27/1996,11/30/2002,11/30/2002,Expired,Fixed Location,,,,,,,
,,,,5280 Lashes LLC,5280 Lashes LLC,,9745 E Hampden Ave Ste 220,,Denver,CO,Denver,80231,4999,REG,,2000035989,11/13/2024,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,5280 Salon LLC,5280 Salon LLC,,24272 E Prospect Ave,,Centennial,CO,Arapahoe,80016,5353,REG,,2000035899,11/07/2024,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,"715 Hair Studio, LLC","715 Hair Studio, LLC",,8999 Apache Plume Drive,#A,Parker,CO,,80134,0134,REG,,2000031227,12/27/2017,12/01/2025,11/30/2027,Active,Fixed Location,,,,,,,
,,,,719 Barbershop,719 Barbershop,,2047 B St,,Colorado Springs,CO,El Paso,80906,4721,REG,,2000036453,02/11/2025,02/11/2025,11/30/2025,Expired,,,,2025-3955,CLS Letter of Admonition,07/21/2025,,
,,,,A Place For Him,A Place For Him,,6500 29th St Ste 101C,,Greeley,CO,Weld,80634,8386,REG,,2000035720,08/16/2024,12/01/2025,11/30/2027,Active,,,,,,,,
,,,,A Salon,A Salon,,5025 Turquoise Dr,,Colorado Springs,CO,El Paso,80918,5040,REG,,2000032164,11/19/2018,12/01/2025,11/30/2027,Active,Fixed Location,,,,,,,
,,,,A Shear Delight,A Shear Delight,,2127 Rainbow Ranch Dr,,Grand Junction,CO,Mesa,81503,1503,REG,,1821,09/08/2005,09/08/2005,11/30/2007,Expired,Fixed Location,,,,,,,
,,,,A Single Strand,A Single Strand,,170 S. Jay St.,,Lakewood,CO,Jefferson,80226,0226,REG,,210025350,06/09/1989,11/30/2001,11/30/2001,Expired,Fixed Location,,,,,,,
,,,,A Sixth Ave. Nail & Hair Salon,A Sixth Ave. Nail & Hair Salon,,800 E 6th Ave,,Denver,CO,Denver,80218,0218,REG,,182043070,06/26/1987,12/01/2003,11/30/2005,Expired,Fixed Location,,,,,,,
